date,open,high,low,close
03-04-2017,430.5,434,428.75,429.25
31-03-2017,422,431.25,417,425.75
30-03-2017,425,426.25,419.75,420.75
29-03-2017,424.25,427.5,422.75,425.5
28-03-2017,420.75,425.75,419.5,424.75
27-03-2017,425.5,425.75,418.5,421.25
24-03-2017,421.5,426.25,421,424.25
23-03-2017,421.75,424.75,420.25,421.25
22-03-2017,427.12,427.12,422,422.25
21-03-2017,430.25,430.5,423.25,426.5
20-03-2017,440.25,442.62,429.25,430.75
17-03-2017,435.5,437.62,433,436.75
16-03-2017,436.5,440.75,434.75,436.75
15-03-2017,431.25,437,430.75,436
14-03-2017,431.25,434.5,428.75,431
13-03-2017,440.25,441.75,430.25,430.75
10-03-2017,442.88,445.5,439.75,442
09-03-2017,447.75,450.75,442.5,443.75
08-03-2017,457.25,457.25,445.5,447.5
07-03-2017,459.25,460.75,451,456.25
06-03-2017,456.75,462.5,456.5,458.75
03-03-2017,451,455.5,448.25,454.25
02-03-2017,457.5,459.5,450.12,453.5
01-03-2017,443,457.25,442.5,457.25
28-02-2017,440.75,454.38,439.25,443.75
27-02-2017,447.5,447.75,438.25,438.75
24-02-2017,438.38,438.5,430.25,433
23-02-2017,441.62,444.25,436.5,437
22-02-2017,437.75,443,435.5,441
21-02-2017,439,440.75,435.25,437
17-02-2017,445.5,447.5,441.12,441.25
16-02-2017,454.25,464.25,447.5,447.75
15-02-2017,449.25,455,446.5,455
14-02-2017,450.75,452,446.62,449.75
13-02-2017,448,456,444.5,451.5
10-02-2017,442.75,450.75,441.25,449.75
09-02-2017,431,443.5,429.75,443.5
08-02-2017,430.25,433,427.75,432.75
07-02-2017,423,430,420,430
06-02-2017,428.5,432.5,423.25,423.5
03-02-2017,434.25,435.5,430.75,430.88
02-02-2017,433,437.75,429.75,435.25
01-02-2017,421.25,432.75,417.25,432.75
31-01-2017,415.5,421,413.25,421
30-01-2017,417.5,419,413.12,414.25
27-01-2017,425.5,427.5,419.5,421.75
26-01-2017,425.25,430.5,422,426.12
25-01-2017,425.38,428.88,423.25,424.25
24-01-2017,433.25,434.5,426.75,427.75
23-01-2017,429.25,433,427.5,433
20-01-2017,423,428,421.75,428
19-01-2017,430.75,430.75,423.5,423.5
18-01-2017,433.25,434.25,428.75,431
17-01-2017,426,437.62,423.75,432.75
13-01-2017,426.75,426.75,419.5,426.25
12-01-2017,418.75,429.88,414.5,425.88
11-01-2017,425,426,412.25,419
10-01-2017,426.5,427.25,423.5,427
09-01-2017,424,428.25,421.12,427.25
06-01-2017,425.75,428,422,423
05-01-2017,419.25,427,416.5,425.5
04-01-2017,406.5,418,405,418
03-01-2017,408.38,414,406.38,406.38
30-12-2016,405.75,409.25,404.75,407.75
29-12-2016,403.5,407,402.75,404.75
28-12-2016,409.75,410,400.5,401.75
27-12-2016,395.25,411,395.25,410
23-12-2016,397.5,398.25,392.75,394.38
22-12-2016,399,400.5,396.75,396.75
21-12-2016,402.75,404.5,399.25,399.5
20-12-2016,406,407.75,400.5,403
19-12-2016,412.5,413.25,403.25,405.25
16-12-2016,408.5,410.5,404.75,408.75
15-12-2016,417.75,418,408.75,409
14-12-2016,416.5,418.25,413.25,418.25
13-12-2016,416.62,420.75,414.5,418
12-12-2016,415.25,416.75,408.75,416.75
09-12-2016,409.25,416.38,404,416
08-12-2016,402.38,409.25,402,407.75
07-12-2016,406.75,407.5,399.75,401.25
06-12-2016,409.5,413,406.25,407
05-12-2016,405.25,410,404.75,408.5
02-12-2016,397.75,403,396.75,403
01-12-2016,403.75,404.5,393.25,395.75
30-11-2016,409.5,414,403,403
29-11-2016,415.25,415.5,408,408.25
28-11-2016,420.5,421.25,414.5,418
25-11-2016,401.62,403.5,396.75,396.75
23-11-2016,407,407.25,396.62,401.5
22-11-2016,410.5,411.75,406.25,406.25
21-11-2016,409,412,404.75,410.75
18-11-2016,403,410,400.5,408.75
17-11-2016,398.25,406.25,396.75,403.25
16-11-2016,400,401,397,397
15-11-2016,394.75,402,393,399
14-11-2016,403.5,403.75,392.75,394
11-11-2016,405.75,407.5,401.25,402
10-11-2016,408.5,414.25,402.5,405
09-11-2016,416,417.75,404,407.75
08-11-2016,410.5,419.75,408.38,414.5
07-11-2016,414.12,415.75,406.75,408.5
04-11-2016,411.75,415.25,410.5,414.25
03-11-2016,417.75,420,409.5,411.5
02-11-2016,414.38,420.25,412.25,418.5
01-11-2016,416,418.25,411,414
31-10-2016,410.75,416.75,409.25,415.25
28-10-2016,415.75,417.5,407.62,408
27-10-2016,412,418.75,411.75,415
26-10-2016,403.5,414.12,403,411.75
25-10-2016,403.75,406.5,398.88,404.75
24-10-2016,413.5,416.88,400.75,403.5
21-10-2016,416.75,418.25,413.5,414.5
20-10-2016,420.12,422.75,415.5,417
19-10-2016,420.12,422.5,414,420
18-10-2016,425,425.5,418.5,419.5
17-10-2016,418.75,425.5,416.25,424.25
14-10-2016,415.5,428.25,415.25,420.75
13-10-2016,397.75,417,397.5,416.5
12-10-2016,404.88,414,396.25,397.5
11-10-2016,404,408.75,401.5,407.25
10-10-2016,397.25,405.38,397.25,404.25
07-10-2016,397.25,401,394.5,395
06-10-2016,407.75,409.5,393.5,395.25
05-10-2016,395.5,408.25,392,405.5
04-10-2016,395.75,398.25,393,395.75
03-10-2016,400.5,401.75,391.75,396.75
30-09-2016,398.75,403.88,390.25,401.75
29-09-2016,402.5,406.75,398,399
28-09-2016,404.75,407.25,402,403.38
27-09-2016,398,405,394.25,404.25
26-09-2016,403.75,407,395.5,396
23-09-2016,404.25,409.5,401.38,405.25
22-09-2016,406,411.75,404.5,405.75
21-09-2016,405,409,402.5,408.25
20-09-2016,403.25,410,401.5,405.75
19-09-2016,404.75,409,400,404
16-09-2016,398.75,404.5,394.25,403.88
15-09-2016,402,406.75,398.25,399.5
14-09-2016,400.75,404.25,395.25,402.25
13-09-2016,408,410.88,399.25,400
12-09-2016,402.5,410,400,408.75
09-09-2016,405.5,406,397.12,403
08-09-2016,403,406.75,398.5,406
07-09-2016,398.12,405,397.5,402.5
06-09-2016,398.25,402.75,395,398
02-09-2016,394.5,401.5,394.5,399
01-09-2016,391.5,397.25,389.75,394.62
31-08-2016,392.88,395.75,387,387.5
30-08-2016,397,400.75,391.75,392.5
29-08-2016,407.25,407.75,395.5,397.25
26-08-2016,401,402.38,381.25,384.12
25-08-2016,404.75,408,401.38,401.38
24-08-2016,407.88,409.25,403,404.5
23-08-2016,414.75,415,407,407.5
22-08-2016,427.25,429.12,414.75,415.25
19-08-2016,426.62,432.5,422.5,427.5
18-08-2016,424.5,428,420,427.25
17-08-2016,423.38,428.38,419.75,426.25
16-08-2016,420.88,427.88,414.88,423.5
15-08-2016,422,430,417.25,422.62
12-08-2016,416.12,422.62,406.62,422.62
11-08-2016,420.5,423.88,413.75,416
10-08-2016,415.88,427.5,415.5,421.12
09-08-2016,415.75,419.25,411.75,416.5
08-08-2016,419.5,423.5,411.75,417
05-08-2016,404,418.5,404,415.38
04-08-2016,411.12,416.12,403.75,404.25
03-08-2016,402.75,415,401.25,410
02-08-2016,405.75,410.5,399.38,400.75
01-08-2016,407.75,415.5,406.75,406.75
29-07-2016,411.12,412.75,403.75,407.25
28-07-2016,415.38,420,408.5,409.12
27-07-2016,415.62,421,414.25,415
26-07-2016,425.38,429.25,414.25,414.88
25-07-2016,428.25,435.25,421.25,429.5
22-07-2016,418.38,426.88,407.25,426.12
21-07-2016,413.5,419.75,409,418.25
20-07-2016,418.25,423.75,406.75,412.75
19-07-2016,427.5,428.25,416.5,418.5
18-07-2016,427.75,431.75,420.62,430.25
15-07-2016,434.75,439.75,425.5,425.5
14-07-2016,442.38,448,431.38,433.75
13-07-2016,439.38,451.5,437,441
12-07-2016,431,439.25,424,437.5
11-07-2016,437,441.88,426.75,430.75
08-07-2016,427.25,439.5,424,435.5
07-07-2016,430.38,438.75,424.5,425.62
06-07-2016,432,434,421.25,429.5
05-07-2016,431.25,432.5,416,431.5
01-07-2016,445.38,445.5,428.25,430.62
30-06-2016,445.75,453.5,438,448
29-06-2016,457.88,460.5,444,444.25
28-06-2016,458.38,467.25,456.5,458.25
27-06-2016,464,470.25,458.5,459.25
24-06-2016,454.5,455,442.25,453.25
23-06-2016,459.5,461.5,453.5,454
22-06-2016,460.5,465,458.5,458.75
21-06-2016,473.25,476.5,458,458.12
20-06-2016,477,479.75,473.75,473.75
17-06-2016,473.25,482,472.75,481.5
16-06-2016,477.38,479.5,471.25,472.5
15-06-2016,482.88,489.75,478.5,478.5
14-06-2016,491.25,493.38,481.5,484.75
13-06-2016,498.25,503.25,491.5,492
10-06-2016,509,512.5,494.62,495
09-06-2016,517.88,519,506.25,509.75
08-06-2016,508.75,523.88,506.25,520
07-06-2016,506.5,513.5,501,509.5
06-06-2016,497.75,514.75,497.75,507.75
03-06-2016,484,498,482.5,497.75
02-06-2016,474,487,473,485.5
01-06-2016,463.38,474.75,463.38,473.5
31-05-2016,480.62,483.88,463.75,463.75
27-05-2016,481.38,484.75,479,481.5
26-05-2016,465.75,481.5,465.5,480.75
25-05-2016,464,468.88,463.25,466.25
24-05-2016,462.75,470,458.25,464.5
23-05-2016,467.38,469.12,461.25,462.5
20-05-2016,468.75,474.5,464.25,468.25
19-05-2016,478.5,479.75,462.75,469.25
18-05-2016,481.38,484.5,477.25,481
17-05-2016,473.5,484.5,473.25,481.5
16-05-2016,473.75,476.75,467.75,475.75
13-05-2016,468.25,477.5,465,474.75
12-05-2016,457.62,468,457.62,468
11-05-2016,461.5,464.75,457,459
10-05-2016,457.38,468.5,455.5,462.25
09-05-2016,464,467,455,456.25
06-05-2016,462.62,470.25,462.25,464.5
05-05-2016,468.75,472.5,461.88,463.75
04-05-2016,470.75,476.5,469.12,473
03-05-2016,487.38,492.75,468.5,472
02-05-2016,486.75,490,481.5,487.12
29-04-2016,483.75,490.75,480.75,489.25
28-04-2016,483.75,497,481.5,485.75
27-04-2016,486.5,489.5,480.5,482.75
26-04-2016,478.12,488.5,474.25,488.25
25-04-2016,473.75,485.38,469,476.75
22-04-2016,492.88,493.12,465.62,467.25
21-04-2016,503.5,510.75,491,495.88
20-04-2016,485.25,503.75,485.25,503
19-04-2016,473,487.75,471.25,485.5
18-04-2016,461,477,460.75,472.5
15-04-2016,459.25,462.25,455,460.25
14-04-2016,462.5,465.5,454.5,458.5
13-04-2016,451.75,466.62,450.25,464.25
12-04-2016,447.62,457,446.75,453.5
11-04-2016,457.88,457.88,446.25,447
08-04-2016,457.5,462.5,456.5,461.5
07-04-2016,463,465.25,457.12,457.25
06-04-2016,473,473,461.75,463.25
05-04-2016,475,476.5,470.25,473.5
04-04-2016,476.38,479,470.5,474.5
01-04-2016,473.75,475.5,467,475.5
31-03-2016,464,475,455.88,474.5
30-03-2016,476,477.5,463.25,464.25
29-03-2016,471.5,477.25,471,477
28-03-2016,465.25,477.25,464,472
24-03-2016,463.13,464.38,458.62,463.5
23-03-2016,467.38,467.38,462.62,463.38
22-03-2016,466.25,470.62,463.38,467.38
21-03-2016,468.62,472,463.88,466.38
18-03-2016,463,463.88,457.88,463.38
17-03-2016,472.13,475.88,460.12,462.38
16-03-2016,476.88,477.12,469.88,470.62
15-03-2016,477.75,479.12,473.12,477.12
14-03-2016,475.63,479.38,472.88,478.62
11-03-2016,476.88,478.38,471.62,475.88
10-03-2016,467.88,477.38,465.13,476.38
09-03-2016,464.62,468.38,461.12,468.12
08-03-2016,461.38,465.62,457.12,465.13
07-03-2016,465,468.38,461.88,463.13
04-03-2016,459.63,464.38,456.12,461.38
03-03-2016,449.62,461.88,449.38,459.12
02-03-2016,447,451.38,442.38,450.12
01-03-2016,453.38,454.63,445.62,446.12
29-02-2016,455.12,456.38,450.63,452.88
26-02-2016,453.88,456.12,449.13,452.12
25-02-2016,452.25,455.88,449.62,453.12
24-02-2016,455.62,456.12,446.62,451.38
23-02-2016,463.5,465.88,455.38,455.88
22-02-2016,466.38,469.38,458.25,463.88
19-02-2016,461.88,464.5,460.12,461.88
18-02-2016,468.5,468.5,462.12,462.38
17-02-2016,464.5,470,462.75,468.88
16-02-2016,460.75,465,459.88,464.38
12-02-2016,458.88,462,455.13,457.38
11-02-2016,460.38,465.75,457.88,458.38
10-02-2016,458.13,462.75,456.63,461.13
09-02-2016,459.13,460.25,455.13,457.38
08-02-2016,466.25,468.88,457.75,458.38
05-02-2016,473.5,474.13,465.75,466.63
04-02-2016,479.13,482.5,472.63,472.63
03-02-2016,475.63,480.13,474.63,479.88
02-02-2016,475.75,483,473.25,475.38
01-02-2016,476.25,477.25,471.38,475.63
29-01-2016,472.25,479.38,470.88,479.38
28-01-2016,476.75,476.88,470.63,472.13
27-01-2016,484.25,485.75,473.63,476.38
26-01-2016,481.63,488.5,478.13,485.13
25-01-2016,475.75,483.75,475.75,481.13
22-01-2016,474.75,479.75,472.63,475.38
21-01-2016,472.38,480,470.5,475.38
20-01-2016,473,475.38,467.38,471.63
19-01-2016,475.25,478.88,470.63,474.38
17-01-2016,473.38,473.38,473.38,473.38
15-01-2016,469,474.63,465.13,473.38
14-01-2016,477.75,477.88,468.13,468.88
13-01-2016,480.25,483.75,476.63,477.88
12-01-2016,470,483.13,463.88,481.38
11-01-2016,481,481.13,466.63,469.13
08-01-2016,468.13,479.63,467.63,478.38
07-01-2016,463.5,468.88,456.38,468.38
06-01-2016,461.5,465.63,457,462.63
05-01-2016,460.38,464.63,458.63,461.38
04-01-2016,472.5,472.5,456.13,458.38
31-12-2015,469.88,472.25,468.88,469.38
30-12-2015,476.38,479.13,469.38,469.63
29-12-2015,467.38,476.63,467.38,475.88
28-12-2015,467.5,472.38,465.88,466.63
27-12-2015,468,468,468,468
24-12-2015,468.63,471.63,467.38,468
23-12-2015,472.63,474.88,468.38,469.63
22-12-2015,479.5,482.63,471.63,471.63
21-12-2015,485.75,490.88,478.38,479.13
18-12-2015,486.13,498.88,481.38,486.13
17-12-2015,483.5,488.13,472.38,483.88
16-12-2015,493.13,496.75,483.38,483.38
15-12-2015,493.38,497.88,486.38,493.88
14-12-2015,491.38,496.88,488.63,493.38
11-12-2015,494.75,497.88,487.63,490.38
10-12-2015,488.88,497.88,485.63,495.38
09-12-2015,481.63,491.13,481.5,489.63
08-12-2015,481.5,483.63,476.63,481.38
07-12-2015,489.38,492.88,482.13,482.88
04-12-2015,479.25,484.88,478.38,484.63
03-12-2015,466.88,483.88,466.13,478.38
02-12-2015,471.25,473.38,465.63,467.13
01-12-2015,474.63,480.13,470.88,471.38
30-11-2015,476.63,480.38,475.13,475.63
27-11-2015,487.63,487.63,478.13,479
25-11-2015,488.38,492.38,487.38,487.63
24-11-2015,496.75,497.13,487.88,488.13
23-11-2015,487.25,499.63,485.88,497.38
20-11-2015,489.38,494.88,486.38,489.13
19-11-2015,483,492.75,481.63,490.38
18-11-2015,487.38,490.25,480.63,483.38
17-11-2015,493.5,494,484.63,487.75
16-11-2015,494.88,498,490.5,493.88
13-11-2015,496.5,499.75,491.63,496.13
12-11-2015,496,500.5,492.38,497.63
11-11-2015,491.88,498,490.38,495.13
10-11-2015,502.38,503.75,488.13,491.38
09-11-2015,520.38,521.25,501.38,501.63
06-11-2015,524.75,526,517.88,522.88
05-11-2015,524.5,529,520.38,525.88
04-11-2015,516.13,530.75,508.38,526.38
03-11-2015,507.63,516.63,506,516.38
02-11-2015,521.38,522.75,506.88,507.88
30-10-2015,515.25,523.75,515.13,522.13
29-10-2015,505.75,517.25,505.13,515.38
28-10-2015,507.63,508.75,500.13,505.88
27-10-2015,509.88,518,506.63,509.13
26-10-2015,493.63,512,493.63,509.38
23-10-2015,490.5,494.25,484.88,490.63
22-10-2015,494.75,500.5,490.63,490.88
21-10-2015,491.88,497.5,490.38,494.63
20-10-2015,486.38,491.63,483.63,490.63
19-10-2015,491.38,493.5,484.38,485.38
16-10-2015,502.63,505.88,489.88,492.38
15-10-2015,507.25,512.75,502.13,502.13
14-10-2015,518.38,519.75,507.63,508.38
13-10-2015,507,521.75,505.13,518.88
12-10-2015,507.38,510.63,503.38,506.88
09-10-2015,511,519.5,504.63,508.13
08-10-2015,516,522,509.38,511.13
07-10-2015,525.38,531.5,515.13,516.63
06-10-2015,514.63,526.63,513.13,525.88
05-10-2015,512.38,518,508.88,515.88
02-10-2015,516.75,523,512.63,512.63
01-10-2015,512.38,523.75,511.88,518
30-09-2015,503.38,515.5,498.38,512.25
29-09-2015,505.88,509.75,500.63,503.88
28-09-2015,508.5,515.5,500.38,506.13
25-09-2015,497.88,510.5,496.38,508.13
24-09-2015,506,509,496.88,497.13
23-09-2015,494.25,508.5,493.88,507.63
22-09-2015,496.38,496.5,488.38,495.38
21-09-2015,486.25,499.25,480.63,496.63
18-09-2015,481.63,489,480.13,486.63
17-09-2015,488.25,489.75,480.88,480.88
16-09-2015,494.13,495,483.13,488.88
15-09-2015,500.63,503.25,492.38,494.88
14-09-2015,486.38,501.63,485.88,501.38
11-09-2015,477.88,485.5,468.63,485.13
10-09-2015,472.25,479.5,471.5,478.13
09-09-2015,473,481,471.13,472.63
08-09-2015,469.13,476.63,469.13,475.13
04-09-2015,465.88,469.63,463.13,467.13
03-09-2015,479.25,479.38,464.88,464.88
02-09-2015,486.13,490,476.63,479.13
01-09-2015,484.13,491.5,482.13,485.63
31-08-2015,484.13,485.88,476.63,485.38
28-08-2015,484.88,487.75,476.13,477.63
27-08-2015,490.75,495.38,481.63,484.75
26-08-2015,498.38,499.88,488.38,491
25-08-2015,504.13,511.25,492.63,496.5
24-08-2015,498.13,504.38,487.5,504.25
21-08-2015,504.5,507.13,495.75,499.38
20-08-2015,495.75,507.63,495.5,504.13
